id,name,capital,continent,link,timeGet4,Afghanistan,Kabul,Asia,https://www.vietnamplus.vn/,Thu Nov 29 22:02:33 ICT 2018,
8,Albania,Tirana,Europe,tuoitre.vn,Thu Nov 29 22:02:33 ICT 2018,
12,Algeria,Algiers,Africa,https://www.vietnamplus.vn/,Thu Nov 29 22:02:33 ICT 2018,
16,American Samoa,Pago Pago,Oceania,vnexpress.net,Thu Nov 29 22:02:33 ICT 2018,
20,Andorra,Andorra la Vella,Europe,https://www.24h.com.vn/,Thu Nov 29 22:02:33 ICT 2018,
24,Angola,Luanda,Africa,tuoitre.vn,Thu Nov 29 22:02:33 ICT 2018,
660,Anguilla,The Valley,North America,https://dantri.com.vn/,Thu Nov 29 22:02:33 ICT 2018,
10,Antarctica,,Antarctica,http://kenh14.vn/,Thu Nov 29 22:02:33 ICT 2018,
28,Antigua and Barbuda,St. John's,North America,vnexpress.net,Thu Nov 29 22:02:33 ICT 2018,
32,Argentina,Buenos Aires,South America,vnexpress.net,Thu Nov 29 22:02:33 ICT 2018,
51,Armenia,Yerevan,Asia,https://www.vietnamplus.vn/,Thu Nov 29 22:02:33 ICT 2018,
533,Aruba,Oranjestad,North America,vnexpress.net,Thu Nov 29 22:02:33 ICT 2018,
36,Australia,Canberra,Oceania,vnexpress.net,Thu Nov 29 22:02:33 ICT 2018,
40,Austria,Vienna,Europe,http://vietnamnet.vn/,Thu Nov 29 22:02:33 ICT 2018,
31,Azerbaijan,Baku,Asia,tuoitre.vn,Thu Nov 29 22:02:33 ICT 2018,
44,Bahamas,Nassau,North America,tuoitre.vn,Thu Nov 29 22:02:33 ICT 2018,
48,Bahrain,Manama,Asia,vnexpress.net,Thu Nov 29 22:02:33 ICT 2018,
50,Bangladesh,Dhaka,Asia,https://www.vietnamplus.vn/,Thu Nov 29 22:02:33 ICT 2018,
52,Barbados,Bridgetown,North America,vnexpress.net,Thu Nov 29 22:02:33 ICT 2018,
112,Belarus,Minsk,Europe,vnexpress.net,Thu Nov 29 22:02:33 ICT 2018,
56,Belgium,Brussels,Europe,http://vietnamnet.vn/,Thu Nov 29 22:02:33 ICT 2018,
84,Belize,Belmopan,North America,https://www.24h.com.vn/,Thu Nov 29 22:02:33 ICT 2018,
204,Benin,Porto-Novo,Africa,https://www.vietnamplus.vn/,Thu Nov 29 22:02:33 ICT 2018,
60,Bermuda,Hamilton,North America,https://www.vietnamplus.vn/,Thu Nov 29 22:02:33 ICT 2018,
64,Bhutan,Thimphu,Asia,https://dantri.com.vn/,Thu Nov 29 22:02:33 ICT 2018,
68,Bolivia,Sucre,South America,https://www.vietnamplus.vn/,Thu Nov 29 22:02:33 ICT 2018,
535,Bonaire,Kralendijk,North America,https://www.vietnamplus.vn/,Thu Nov 29 22:02:33 ICT 2018,
70,Bosnia and Herzegovina,Sarajevo,Europe,tuoitre.vn,Thu Nov 29 22:02:33 ICT 2018,
72,Botswana,Gaborone,Africa,tuoitre.vn,Thu Nov 29 22:02:33 ICT 2018,
74,Bouvet Island,,Antarctica,https://www.24h.com.vn/,Thu Nov 29 22:02:33 ICT 2018,
76,Brazil,Brasília,South America,vnexpress.net,Thu Nov 29 22:02:33 ICT 2018,
86,British Indian Ocean Territory,,Asia,https://dantri.com.vn/,Thu Nov 29 22:02:33 ICT 2018,
92,British Virgin Islands,Road Town,North America,http://kenh14.vn/,Thu Nov 29 22:02:33 ICT 2018,
96,Brunei,Bandar Seri Begawan,Asia,http://kenh14.vn/,Thu Nov 29 22:02:33 ICT 2018,
100,Bulgaria,Sofia,Europe,https://www.24h.com.vn/,Thu Nov 29 22:02:33 ICT 2018,
854,Burkina Faso,Ouagadougou,Africa,http://kenh14.vn/,Thu Nov 29 22:02:33 ICT 2018,
108,Burundi,Bujumbura,Africa,https://www.24h.com.vn/,Thu Nov 29 22:02:33 ICT 2018,
116,Cambodia,Phnom Penh,Asia,https://www.vietnamplus.vn/,Thu Nov 29 22:02:33 ICT 2018,
120,Cameroon,Yaoundé,Africa,vnexpress.net,Thu Nov 29 22:02:33 ICT 2018,
124,Canada,Ottawa,North America,tuoitre.vn,Thu Nov 29 22:02:33 ICT 2018,
132,Cape Verde,Praia,Africa,http://vietnamnet.vn/,Thu Nov 29 22:02:33 ICT 2018,
136,Cayman Islands,George Town,North America,https://dantri.com.vn/,Thu Nov 29 22:02:33 ICT 2018,
140,Central African Republic,Bangui,Africa,http://kenh14.vn/,Thu Nov 29 22:02:33 ICT 2018,
148,Chad,N'Djamena,Africa,vnexpress.net,Thu Nov 29 22:02:33 ICT 2018,
152,Chile,Santiago,South America,https://dantri.com.vn/,Thu Nov 29 22:02:33 ICT 2018,
156,China,Beijing,Asia,https://www.vietnamplus.vn/,Thu Nov 29 22:02:33 ICT 2018,
162,Christmas Island,Flying Fish Cove,Oceania,https://www.vietnamplus.vn/,Thu Nov 29 22:02:33 ICT 2018,
166,Cocos [Keeling] Islands,West Island,Asia,https://vtc.vn/,Thu Nov 29 22:02:33 ICT 2018,
170,Colombia,Bogotá,South America,https://vtc.vn/,Thu Nov 29 22:02:33 ICT 2018,
174,Comoros,Moroni,Africa,https://vtc.vn/,Thu Nov 29 22:02:33 ICT 2018,
184,Cook Islands,Avarua,Oceania,https://www.vietnamplus.vn/,Thu Nov 29 22:02:33 ICT 2018,
188,Costa Rica,San José,North America,https://www.24h.com.vn/,Thu Nov 29 22:02:33 ICT 2018,
191,Croatia,Zagreb,Europe,https://www.vietnamplus.vn/,Thu Nov 29 22:02:33 ICT 2018,
192,Cuba,Havana,North America,https://www.24h.com.vn/,Thu Nov 29 22:02:33 ICT 2018,
531,Curacao,Willemstad,North America,http://vietnamnet.vn/,Thu Nov 29 22:02:33 ICT 2018,
196,Cyprus,Nicosia,Europe,tuoitre.vn,Thu Nov 29 22:02:33 ICT 2018,
203,Czechia,Prague,Europe,http://vietnamnet.vn/,Thu Nov 29 22:02:33 ICT 2018,
180,Democratic Republic of the Congo,Kinshasa,Africa,https://dantri.com.vn/,Thu Nov 29 22:02:33 ICT 2018,
208,Denmark,Copenhagen,Europe,https://www.24h.com.vn/,Thu Nov 29 22:02:33 ICT 2018,
262,Djibouti,Djibouti,Africa,https://dantri.com.vn/,Thu Nov 29 22:02:33 ICT 2018,
212,Dominica,Roseau,North America,vnexpress.net,Thu Nov 29 22:02:33 ICT 2018,
214,Dominican Republic,Santo Domingo,North America,https://www.vietnamplus.vn/,Thu Nov 29 22:02:33 ICT 2018,
626,East Timor,Dili,Oceania,tuoitre.vn,Thu Nov 29 22:02:33 ICT 2018,
218,Ecuador,Quito,South America,https://www.vietnamplus.vn/,Thu Nov 29 22:02:33 ICT 2018,
818,Egypt,Cairo,Africa,https://www.24h.com.vn/,Thu Nov 29 22:02:33 ICT 2018,
222,El Salvador,San Salvador,North America,https://dantri.com.vn/,Thu Nov 29 22:02:33 ICT 2018,
226,Equatorial Guinea,Malabo,Africa,http://vietnamnet.vn/,Thu Nov 29 22:02:33 ICT 2018,
232,Eritrea,Asmara,Africa,https://dantri.com.vn/,Thu Nov 29 22:02:33 ICT 2018,
233,Estonia,Tallinn,Europe,http://vietnamnet.vn/,Thu Nov 29 22:02:33 ICT 2018,
231,Ethiopia,Addis Ababa,Africa,https://vtc.vn/,Thu Nov 29 22:02:33 ICT 2018,
238,Falkland Islands,Stanley,South America,http://vietnamnet.vn/,Thu Nov 29 22:02:33 ICT 2018,
234,Faroe Islands,Tórshavn,Europe,https://www.vietnamplus.vn/,Thu Nov 29 22:02:33 ICT 2018,
242,Fiji,Suva,Oceania,http://vietnamnet.vn/,Thu Nov 29 22:02:33 ICT 2018,
246,Finland,Helsinki,Europe,http://kenh14.vn/,Thu Nov 29 22:02:33 ICT 2018,
250,France,Paris,Europe,https://www.24h.com.vn/,Thu Nov 29 22:02:33 ICT 2018,
254,French Guiana,Cayenne,South America,http://kenh14.vn/,Thu Nov 29 22:02:33 ICT 2018,
258,French Polynesia,Papeete,Oceania,http://vietnamnet.vn/,Thu Nov 29 22:02:33 ICT 2018,
260,French Southern Territories,Port-aux-Français,Antarctica,https://www.vietnamplus.vn/,Thu Nov 29 22:02:33 ICT 2018,
266,Gabon,Libreville,Africa,https://www.24h.com.vn/,Thu Nov 29 22:02:33 ICT 2018,
270,Gambia,Bathurst,Africa,https://dantri.com.vn/,Thu Nov 29 22:02:33 ICT 2018,
268,Georgia,Tbilisi,Asia,https://www.vietnamplus.vn/,Thu Nov 29 22:02:33 ICT 2018,
276,Germany,Berlin,Europe,https://vtc.vn/,Thu Nov 29 22:02:33 ICT 2018,
288,Ghana,Accra,Africa,http://kenh14.vn/,Thu Nov 29 22:02:33 ICT 2018,
292,Gibraltar,Gibraltar,Europe,https://www.24h.com.vn/,Thu Nov 29 22:02:33 ICT 2018,
300,Greece,Athens,Europe,tuoitre.vn,Thu Nov 29 22:02:33 ICT 2018,
304,Greenland,Nuuk,North America,http://vietnamnet.vn/,Thu Nov 29 22:02:33 ICT 2018,
308,Grenada,St. George's,North America,http://kenh14.vn/,Thu Nov 29 22:02:33 ICT 2018,
312,Guadeloupe,Basse-Terre,North America,tuoitre.vn,Thu Nov 29 22:02:33 ICT 2018,
316,Guam,Hagåtña,Oceania,vnexpress.net,Thu Nov 29 22:02:33 ICT 2018,
320,Guatemala,Guatemala City,North America,vnexpress.net,Thu Nov 29 22:02:33 ICT 2018,
831,Guernsey,St Peter Port,Europe,http://vietnamnet.vn/,Thu Nov 29 22:02:33 ICT 2018,
324,Guinea,Conakry,Africa,https://www.vietnamplus.vn/,Thu Nov 29 22:02:33 ICT 2018,
624,Guinea-Bissau,Bissau,Africa,http://vietnamnet.vn/,Thu Nov 29 22:02:33 ICT 2018,
328,Guyana,Georgetown,South America,http://vietnamnet.vn/,Thu Nov 29 22:02:33 ICT 2018,
332,Haiti,Port-au-Prince,North America,https://www.24h.com.vn/,Thu Nov 29 22:02:33 ICT 2018,
